"Time","LES1-S1"
2025-07-25 15:50:03,1.40
2025-07-25 16:00:03,0.900
2025-07-25 16:10:03,0.300
2025-07-25 16:20:03,0.300
2025-07-25 16:30:03,0.200
2025-07-25 16:40:03,0.200
2025-07-25 16:50:03,0.600
2025-07-25 17:00:03,0.900
2025-07-25 17:10:03,0.300
2025-07-25 17:20:03,0
2025-07-25 17:30:03,0.100
2025-07-25 17:40:03,0.100
2025-07-25 17:50:03,0
2025-07-25 18:00:03,0
2025-07-25 18:10:03,0
2025-07-25 18:20:03,0
2025-07-25 18:30:03,0
2025-07-25 18:40:03,0
2025-07-25 18:50:03,0
2025-07-25 19:00:03,0
2025-07-25 19:10:03,0
2025-07-25 19:20:03,0
2025-07-25 19:30:03,0
2025-07-25 19:40:03,0
2025-07-25 19:50:03,0
2025-07-25 20:00:03,0
2025-07-25 20:10:03,0
2025-07-25 20:20:03,0
2025-07-25 20:30:03,0
2025-07-25 20:40:03,0
2025-07-25 20:50:03,0
2025-07-25 21:00:03,0
2025-07-25 21:10:03,0
2025-07-25 21:20:03,0
2025-07-25 21:30:03,0
2025-07-25 21:40:03,0
2025-07-25 21:50:03,0
2025-07-25 22:00:03,0
2025-07-25 22:10:03,0
2025-07-25 22:20:03,0
2025-07-25 22:30:03,0
2025-07-25 22:40:03,0
2025-07-25 22:50:03,0
2025-07-25 23:00:03,0
2025-07-25 23:10:03,0
2025-07-25 23:20:03,0
2025-07-25 23:30:03,0
2025-07-25 23:40:03,0
2025-07-25 23:50:03,0
2025-07-26 00:00:03,0
2025-07-26 00:10:03,0
2025-07-26 00:20:03,0
2025-07-26 00:30:03,0
2025-07-26 00:40:03,0
2025-07-26 00:50:03,0
2025-07-26 01:00:03,0
2025-07-26 01:10:03,0
2025-07-26 01:20:03,0
2025-07-26 01:30:03,0
2025-07-26 01:40:03,0
2025-07-26 01:50:03,0
2025-07-26 02:00:03,0
2025-07-26 02:10:03,0
2025-07-26 02:20:03,0
2025-07-26 02:30:03,0
2025-07-26 02:40:03,0
2025-07-26 02:50:03,0
2025-07-26 03:00:03,0
2025-07-26 03:10:03,0
2025-07-26 03:20:03,0
2025-07-26 03:30:03,0
2025-07-26 03:40:03,0
2025-07-26 03:50:03,0
2025-07-26 04:00:03,0
2025-07-26 04:10:03,0
2025-07-26 04:20:03,0
2025-07-26 04:30:03,0
2025-07-26 04:40:03,0
2025-07-26 04:50:03,0
2025-07-26 05:00:03,0
2025-07-26 05:10:03,0
2025-07-26 05:20:03,0
2025-07-26 05:30:03,0
2025-07-26 05:40:03,0
2025-07-26 05:50:03,0
2025-07-26 06:00:03,0
2025-07-26 06:10:03,0
2025-07-26 06:20:03,0
2025-07-26 06:30:03,0
2025-07-26 06:40:03,0
2025-07-26 06:50:03,0
2025-07-26 07:00:03,0
2025-07-26 07:10:03,0
2025-07-26 07:20:03,0
2025-07-26 07:30:03,0
2025-07-26 07:40:03,0
2025-07-26 07:50:03,0
2025-07-26 08:00:03,0
2025-07-26 08:10:03,0
2025-07-26 08:20:03,0
2025-07-26 08:30:03,0
2025-07-26 08:40:03,0
2025-07-26 08:50:03,0
2025-07-26 09:00:03,0
2025-07-26 09:10:03,0
2025-07-26 09:20:03,0
2025-07-26 09:30:03,0
2025-07-26 09:40:03,0
2025-07-26 09:50:03,0
2025-07-26 10:00:03,0
2025-07-26 10:10:03,0
2025-07-26 10:20:03,0
2025-07-26 10:30:03,0
2025-07-26 10:40:03,0
2025-07-26 10:50:04,0
2025-07-26 11:00:03,0
2025-07-26 11:10:03,0
2025-07-26 11:20:03,0
2025-07-26 11:30:03,0
2025-07-26 11:40:03,0
2025-07-26 11:50:03,0
2025-07-26 12:00:03,0
2025-07-26 12:10:03,0
